                                     | Core 0     | Core 1    
  Instructions                       |    8692719 |    9308206
  Cycles                             |    6868758 |    6868758
  IPC                                |       1.27 |       1.36
  Time (ns)                          |    2582240 |    2582240
  Idle time (ns)                     |     172184 |      79905
  Idle time (%)                      |       6.7% |       3.1%
Branch predictor stats               |            |           
  num correct                        |    1570803 |    1693899
  num incorrect                      |        160 |        159
  misprediction rate                 |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3146915 |    3393108
    num cache misses                 |         12 |         14
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    5337891 |    5707180
    num cache misses                 |       5851 |       5842
    miss rate                        |      0.11% |      0.10%
    mpki                             |       0.67 |       0.63
  Cache L2                           |            |           
    num cache accesses               |       5969 |       5971
    num cache misses                 |         21 |          7
    miss rate                        |      0.35% |      0.12%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         23 |          9
    num cache misses                 |         21 |          7
    miss rate                        |     91.30% |     77.78%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         27 |          0
  average dram access latency (ns)   |     128.62 |        inf
  average dram queueing delay        |      75.19 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          2
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
