                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     172467 |     201477 |     219028 |     201603 |     203821 |     234832 |     229662 |     203933 |     176607 |     219883 |     235461 |     200463 |     221992 |     230835 |     185941 |     245532
  Cycles                             |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231 |    2644231
  IPC                                |       0.07 |       0.08 |       0.08 |       0.08 |       0.08 |       0.09 |       0.09 |       0.08 |       0.07 |       0.08 |       0.09 |       0.08 |       0.08 |       0.09 |       0.07 |       0.09
  Time (ns)                          |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072 |     994072
  Idle time (ns)                     |     439013 |     166807 |     109646 |     195586 |     185759 |      86973 |     109374 |     243179 |     438463 |     130041 |      85006 |     264900 |     118056 |     112012 |     294735 |      91685
  Idle time (%)                      |      44.2% |      16.8% |      11.0% |      19.7% |      18.7% |       8.7% |      11.0% |      24.5% |      44.1% |      13.1% |       8.6% |      26.6% |      11.9% |      11.3% |      29.6% |       9.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      25258 |      31065 |      34574 |      31091 |      31521 |      37721 |      36694 |      31561 |      26080 |      34724 |      37868 |      30850 |      35160 |      36931 |      27958 |      39872
  num incorrect                      |         47 |         43 |         37 |         45 |         46 |         43 |         50 |         41 |         46 |         53 |         38 |         53 |         48 |         48 |         38 |         48
  misprediction rate                 |      0.19% |      0.14% |      0.11% |      0.14% |      0.15% |      0.11% |      0.14% |      0.13% |      0.18% |      0.15% |      0.10% |      0.17% |      0.14% |      0.13% |      0.14% |      0.12%
  mpki                               |       0.27 |       0.21 |       0.17 |       0.22 |       0.23 |       0.18 |       0.22 |       0.20 |       0.26 |       0.24 |       0.16 |       0.26 |       0.22 |       0.21 |       0.20 |       0.20
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      55596 |      67207 |      74216 |      67261 |      68127 |      80526 |      78483 |      68193 |      57239 |      74547 |      80806 |      66795 |      75411 |      78953 |      60986 |      84826
    num cache misses                 |         11 |         17 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         12 |         13
    miss rate                        |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.06 |       0.08 |       0.07 |       0.08 |       0.08 |       0.07 |       0.07 |       0.08 |       0.09 |       0.07 |       0.07 |       0.08 |       0.07 |       0.07 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     106914 |     124340 |     134845 |     124418 |     125716 |     144323 |     141248 |     125816 |     109387 |     135353 |     144732 |     123719 |     136647 |     141953 |     114993 |     150764
    num cache misses                 |      24803 |      24828 |      26190 |      23745 |      23641 |      26323 |      25958 |      21930 |      25088 |      26879 |      26886 |      22733 |      25724 |      26382 |      20510 |      25806
    miss rate                        |     23.20% |     19.97% |     19.42% |     19.08% |     18.81% |     18.24% |     18.38% |     17.43% |     22.94% |     19.86% |     18.58% |     18.37% |     18.83% |     18.59% |     17.84% |     17.12%
    mpki                             |     143.81 |     123.23 |     119.57 |     117.78 |     115.99 |     112.09 |     113.03 |     107.54 |     142.06 |     122.24 |     114.18 |     113.40 |     115.88 |     114.29 |     110.30 |     105.10
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25108 |      25071 |      26458 |      23986 |      23885 |      26593 |      26231 |      22163 |      25209 |      26995 |      27021 |      22829 |      25851 |      26511 |      20611 |      25952
    num cache misses                 |      19818 |      20246 |      21833 |      19279 |      19802 |      21846 |      21147 |      18015 |      19532 |      21540 |      21804 |      17629 |      20838 |      21060 |      16596 |      20742
    miss rate                        |     78.93% |     80.75% |     82.52% |     80.38% |     82.91% |     82.15% |     80.62% |     81.28% |     77.48% |     79.79% |     80.69% |     77.22% |     80.61% |     79.44% |     80.52% |     79.92%
    mpki                             |     114.91 |     100.49 |      99.68 |      95.63 |      97.15 |      93.03 |      92.08 |      88.34 |     110.60 |      97.96 |      92.60 |      87.94 |      93.87 |      91.23 |      89.25 |      84.48
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20174 |      20440 |      22054 |      19470 |      20000 |      22070 |      21369 |      18201 |      19703 |      21625 |      21898 |      17685 |      20934 |      21145 |      16672 |      20843
    num cache misses                 |      13780 |      15225 |      16350 |      14218 |      13981 |      16111 |      15322 |      13813 |      13346 |      15297 |      15274 |      12755 |      14453 |      14775 |      11293 |      15759
    miss rate                        |     68.31% |     74.49% |     74.14% |     73.03% |     69.91% |     73.00% |     71.70% |     75.89% |     67.74% |     70.74% |     69.75% |     72.12% |     69.04% |     69.87% |     67.74% |     75.61%
    mpki                             |      79.90 |      75.57 |      74.65 |      70.52 |      68.59 |      68.61 |      66.72 |      67.73 |      75.57 |      69.57 |      64.87 |      63.63 |      65.11 |      64.01 |      60.73 |      64.18
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     110.14 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      56.71 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          3 |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          5 |          4 |          3 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3353 |       5930 |       6589 |       6197 |       6084 |       6459 |       6189 |       5725 |       3178 |       5946 |       6003 |       5281 |       5830 |       6205 |       4925 |       6128
