                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     111173 |     147208 |     159462 |     142175 |     133050 |     130118 |     146636 |     118559 |     128266 |     141279 |     109812 |     153915 |     112359 |     149037 |     145052 |     134871
  Cycles                             |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703 |    1374703
  IPC                                |       0.08 |       0.11 |       0.12 |       0.10 |       0.10 |       0.09 |       0.11 |       0.09 |       0.09 |       0.10 |       0.08 |       0.11 |       0.08 |       0.11 |       0.11 |       0.10
  Time (ns)                          |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806 |     516806
  Idle time (ns)                     |     256607 |      89002 |      86008 |     122600 |     134347 |     150233 |     101560 |     206978 |     185401 |     114099 |     258305 |      83964 |     224395 |      90073 |      99129 |     135054
  Idle time (%)                      |      49.7% |      17.2% |      16.6% |      23.7% |      26.0% |      29.1% |      19.7% |      40.0% |      35.9% |      22.1% |      50.0% |      16.2% |      43.4% |      17.4% |      19.2% |      26.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      11340 |      17309 |      19364 |      16487 |      14961 |      14458 |      17208 |      12554 |      14161 |      16337 |      11094 |      18419 |      11533 |      17628 |      16954 |      15263
  num incorrect                      |         41 |         74 |         62 |         57 |         62 |         72 |         73 |         53 |         64 |         58 |         47 |         79 |         42 |         60 |         65 |         64
  misprediction rate                 |      0.36% |      0.43% |      0.32% |      0.34% |      0.41% |      0.50% |      0.42% |      0.42% |      0.45% |      0.35% |      0.42% |      0.43% |      0.36% |      0.34% |      0.38% |      0.42%
  mpki                               |       0.37 |       0.50 |       0.39 |       0.40 |       0.47 |       0.55 |       0.50 |       0.45 |       0.50 |       0.41 |       0.43 |       0.51 |       0.37 |       0.40 |       0.45 |       0.47
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      26748 |      38763 |      42843 |      37081 |      34041 |      33051 |      38555 |      29207 |      32445 |      36785 |      26277 |      40994 |      27147 |      39373 |      38031 |      34651
    num cache misses                 |         10 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         14 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.04% |      0.05% |      0.05% |      0.04% |      0.05% |      0.04% |      0.06% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.09 |       0.10 |       0.09 |       0.11 |       0.11 |       0.12 |       0.10 |       0.13 |       0.12 |       0.11 |       0.13 |       0.10 |       0.13 |       0.10 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      65142 |      83160 |      89286 |      80643 |      76080 |      74601 |      82855 |      68833 |      73688 |      80195 |      64435 |      86510 |      65736 |      84075 |      82069 |      76992
    num cache misses                 |      11430 |      12855 |      13070 |      11873 |      11078 |      10679 |      12050 |       9099 |      13993 |      12418 |       8357 |      13285 |       8731 |      12376 |      12348 |      10820
    miss rate                        |     17.55% |     15.46% |     14.64% |     14.72% |     14.56% |     14.31% |     14.54% |     13.22% |     18.99% |     15.48% |     12.97% |     15.36% |     13.28% |     14.72% |     15.05% |     14.05%
    mpki                             |     102.81 |      87.33 |      81.96 |      83.51 |      83.26 |      82.07 |      82.18 |      76.75 |     109.09 |      87.90 |      76.10 |      86.31 |      77.71 |      83.04 |      85.13 |      80.22
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11740 |      13176 |      13382 |      12171 |      11351 |      10977 |      12394 |       9398 |      14198 |      12662 |       8529 |      13555 |       8900 |      12635 |      12636 |      11074
    num cache misses                 |       9138 |      10263 |      10329 |       9549 |       9353 |       8978 |      10073 |       7606 |      11209 |       9870 |       6553 |      10779 |       7358 |      10410 |      10133 |       8904
    miss rate                        |     77.84% |     77.89% |     77.19% |     78.46% |     82.40% |     81.79% |     81.27% |     80.93% |     78.95% |     77.95% |     76.83% |     79.52% |     82.67% |     82.39% |     80.19% |     80.40%
    mpki                             |      82.20 |      69.72 |      64.77 |      67.16 |      70.30 |      69.00 |      68.69 |      64.15 |      87.39 |      69.86 |      59.67 |      70.03 |      65.49 |      69.85 |      69.86 |      66.02
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9466 |      10514 |      10572 |       9766 |       9541 |       9192 |      10309 |       7802 |      11426 |      10019 |       6665 |      10991 |       7467 |      10580 |      10308 |       9066
    num cache misses                 |       6101 |       7834 |       8003 |       7174 |       6564 |       6292 |       6954 |       5642 |       7301 |       7126 |       4931 |       7851 |       4920 |       7223 |       6996 |       6287
    miss rate                        |     64.45% |     74.51% |     75.70% |     73.46% |     68.80% |     68.45% |     67.46% |     72.31% |     63.90% |     71.12% |     73.98% |     71.43% |     65.89% |     68.27% |     67.87% |     69.35%
    mpki                             |      54.88 |      53.22 |      50.19 |      50.46 |      49.33 |      48.36 |      47.42 |      47.59 |      56.92 |      50.44 |      44.90 |      51.01 |      43.79 |      48.46 |      48.23 |      46.61
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     113.25 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      59.82 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          5 |          3 |          4 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1759 |       2932 |       2863 |       2930 |       2854 |       2808 |       3085 |       2403 |       2059 |       2856 |       2010 |       3229 |       2204 |       3004 |       3096 |       2863
