                                     | Core 0     | Core 1    
  Instructions                       |     113488 |     114632
  Cycles                             |     269416 |     269416
  IPC                                |       0.42 |       0.43
  Time (ns)                          |     101284 |     101284
  Idle time (ns)                     |      79230 |      79331
  Idle time (%)                      |      78.2% |      78.3%
Branch predictor stats               |            |           
  num correct                        |      15317 |      15602
  num incorrect                      |         69 |         64
  misprediction rate                 |      0.45% |      0.41%
  mpki                               |       0.61 |       0.56
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13019 |      13032
    num cache misses                 |         13 |         14
    miss rate                        |      0.10% |      0.11%
    mpki                             |       0.11 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |      65798 |      66361
    num cache misses                 |       1937 |       1486
    miss rate                        |      2.94% |      2.24%
    mpki                             |      17.07 |      12.96
  Cache L2                           |            |           
    num cache accesses               |       2502 |       2502
    num cache misses                 |         23 |          8
    miss rate                        |      0.92% |      0.32%
    mpki                             |       0.20 |       0.07
  Cache L3                           |            |           
    num cache accesses               |         25 |         10
    num cache misses                 |         23 |          8
    miss rate                        |     92.00% |     80.00%
    mpki                             |       0.20 |       0.07
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      91.03 |        inf
  average dram queueing delay        |      37.60 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
