                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1393088 |    1395367 |    1395065 |    1393433
  Cycles                             |   24709717 |   24709717 |   24709717 |   24709717
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9289367 |    9289367 |    9289367 |    9289367
  Idle time (ns)                     |    7941173 |    7936490 |    7938090 |    7939111
  Idle time (%)                      |      85.5% |      85.4% |      85.5% |      85.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     109193 |     109113 |     109136 |     108888
  num incorrect                      |        247 |        284 |        255 |        248
  misprediction rate                 |      0.23% |      0.26% |      0.23% |      0.23%
  mpki                               |       0.18 |       0.20 |       0.18 |       0.18
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     219024 |     219940 |     219933 |     219792
    num cache misses                 |         65 |         66 |         67 |         66
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     948789 |     949910 |     949817 |     949203
    num cache misses                 |       2135 |       2216 |       2091 |       1986
    miss rate                        |      0.23% |      0.23% |      0.22% |      0.21%
    mpki                             |       1.53 |       1.59 |       1.50 |       1.43
  Cache L2                           |            |            |            |           
    num cache accesses               |       2371 |       2482 |       2336 |       2225
    num cache misses                 |         38 |         40 |         82 |         57
    miss rate                        |      1.60% |      1.61% |      3.51% |      2.56%
    mpki                             |       0.03 |       0.03 |       0.06 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         41 |         44 |         89 |         61
    num cache misses                 |         38 |         40 |         82 |         57
    miss rate                        |     92.68% |     90.91% |     92.13% |     93.44%
    mpki                             |       0.03 |       0.03 |       0.06 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |        199 |          0 |          0 |          0
  average dram access latency (ns)   |     147.63 |        inf |        inf |        inf
  average dram queueing delay        |      94.20 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         11 |         12 |         26 |         29
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
