                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      89807 |      90520 |      90424 |      89499 |      89916 |      91132 |      90770 |      88768
  Cycles                             |    1579589 |    1579589 |    1579589 |    1579589 |    1579589 |    1579589 |    1579589 |    1579589
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |     593831 |     593831 |     593831 |     593831 |     593831 |     593831 |     593831 |     593831
  Idle time (ns)                     |     539654 |     539419 |     541016 |     545604 |     544074 |     542532 |     541431 |     539915
  Idle time (%)                      |      90.9% |      90.8% |      91.1% |      91.9% |      91.6% |      91.4% |      91.2% |      90.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |       9215 |       9246 |       9303 |       9256 |       9239 |       9351 |       9263 |       9082
  num incorrect                      |        353 |        390 |        352 |        333 |        353 |        391 |        382 |        345
  misprediction rate                 |      3.69% |      4.05% |      3.65% |      3.47% |      3.68% |      4.01% |      3.96% |      3.66%
  mpki                               |       3.93 |       4.31 |       3.89 |       3.72 |       3.93 |       4.29 |       4.21 |       3.89
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17131 |      17254 |      17184 |      16974 |      17113 |      17331 |      17328 |      16964
    num cache misses                 |         66 |         66 |         66 |         66 |         66 |         66 |         66 |         22
    miss rate                        |      0.39% |      0.38% |      0.38% |      0.39% |      0.39% |      0.38% |      0.38% |      0.13%
    mpki                             |       0.73 |       0.73 |       0.73 |       0.74 |       0.73 |       0.72 |       0.73 |       0.25
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      50863 |      51160 |      51105 |      50698 |      50890 |      51397 |      51273 |      50434
    num cache misses                 |       2080 |       2039 |       1999 |       1872 |       1926 |       2000 |       2126 |       1985
    miss rate                        |      4.09% |      3.99% |      3.91% |      3.69% |      3.78% |      3.89% |      4.15% |      3.94%
    mpki                             |      23.16 |      22.53 |      22.11 |      20.92 |      21.42 |      21.95 |      23.42 |      22.36
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2568 |       2483 |       2442 |       2316 |       2383 |       2451 |       2653 |       2469
    num cache misses                 |       1102 |        997 |       1001 |        834 |        933 |        939 |        974 |       1049
    miss rate                        |     42.91% |     40.15% |     40.99% |     36.01% |     39.15% |     38.31% |     36.71% |     42.49%
    mpki                             |      12.27 |      11.01 |      11.07 |       9.32 |      10.38 |      10.30 |      10.73 |      11.82
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1360 |       1199 |       1213 |       1004 |       1109 |       1140 |       1230 |       1299
    num cache misses                 |         29 |         21 |         18 |         42 |         85 |         34 |         29 |         19
    miss rate                        |      2.13% |      1.75% |      1.48% |      4.18% |      7.66% |      2.98% |      2.36% |      1.46%
    mpki                             |       0.32 |       0.23 |       0.20 |       0.47 |       0.95 |       0.37 |       0.32 |       0.21
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        260 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     158.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     104.73 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         10 |          8 |          5 |         19 |         41 |         17 |          8 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
