                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3070149 |    3440937 |    2722370 |    2801507 |    2921190 |    3213463 |    3122529 |    3270028
  Cycles                             |    2351908 |    2351908 |    2351908 |    2351908 |    2351908 |    2351908 |    2351908 |    2351908
  IPC                                |       1.31 |       1.46 |       1.16 |       1.19 |       1.24 |       1.37 |       1.33 |       1.39
  Time (ns)                          |     884176 |     884176 |     884176 |     884176 |     884176 |     884176 |     884176 |     884176
  Idle time (ns)                     |      96242 |      80639 |     230404 |     224277 |     169235 |     126093 |     140725 |     104300
  Idle time (%)                      |      10.9% |       9.1% |      26.1% |      25.4% |      19.1% |      14.3% |      15.9% |      11.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     734343 |     827088 |     647415 |     667218 |     697120 |     770154 |     747454 |     784335
  num incorrect                      |        196 |        149 |        179 |        163 |        183 |        201 |        180 |        175
  misprediction rate                 |      0.03% |      0.02% |      0.03% |      0.02% |      0.03% |      0.03% |      0.02% |      0.02%
  mpki                               |       0.06 |       0.04 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      30064 |      30054 |      30057 |      30053 |      30048 |      30084 |      30063 |      30058
    num cache misses                 |         10 |         13 |         15 |         12 |         12 |         15 |         13 |         12
    miss rate                        |      0.03% |      0.04% |      0.05% |      0.04% |      0.04% |      0.05% |      0.04% |      0.04%
    mpki                             |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1567116 |    1752511 |    1393232 |    1432797 |    1492641 |    1638773 |    1593310 |    1667056
    num cache misses                 |      10753 |       9747 |       7686 |       7640 |       8392 |       8976 |       8856 |       9538
    miss rate                        |      0.69% |      0.56% |      0.55% |      0.53% |      0.56% |      0.55% |      0.56% |      0.57%
    mpki                             |       3.50 |       2.83 |       2.82 |       2.73 |       2.87 |       2.79 |       2.84 |       2.92
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      12722 |      10789 |       9175 |       9134 |       9929 |      10394 |      10225 |      10704
    num cache misses                 |       3538 |       1943 |       1247 |       1019 |       2081 |       1691 |       1698 |       2030
    miss rate                        |     27.81% |     18.01% |     13.59% |     11.16% |     20.96% |     16.27% |     16.61% |     18.96%
    mpki                             |       1.15 |       0.56 |       0.46 |       0.36 |       0.71 |       0.53 |       0.54 |       0.62
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4900 |       2384 |       2127 |       1842 |       3208 |       2514 |       2706 |       2821
    num cache misses                 |         17 |          4 |          9 |          8 |          4 |          5 |          7 |          4
    miss rate                        |      0.35% |      0.17% |      0.42% |      0.43% |      0.12% |      0.20% |      0.26% |      0.14%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     106.97 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      53.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          2 |          4 |          3 |          2 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
