                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6792465 |    6472779 |    6575295 |    7167092 |    5652692 |    5597164 |    5561957 |    6459976 |    6997452 |    6833276 |    7114493 |    6577521 |    6887859 |    7166984 |    7257682 |    6143186
  Cycles                             |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675 |    5356675
  IPC                                |       1.27 |       1.21 |       1.23 |       1.34 |       1.06 |       1.04 |       1.04 |       1.21 |       1.31 |       1.28 |       1.33 |       1.23 |       1.29 |       1.34 |       1.35 |       1.15
  Time (ns)                          |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788 |    2013788
  Idle time (ns)                     |     179628 |     283982 |     265322 |     104066 |     508813 |     512909 |     541985 |     242829 |     115104 |     203032 |     164830 |     308588 |     199020 |     108930 |      86923 |     372216
  Idle time (%)                      |       8.9% |      14.1% |      13.2% |       5.2% |      25.3% |      25.5% |      26.9% |      12.1% |       5.7% |      10.1% |       8.2% |      15.3% |       9.9% |       5.4% |       4.3% |      18.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1664686 |    1584803 |    1610389 |    1758324 |    1379771 |    1365872 |    1357089 |    1581550 |    1715927 |    1674900 |    1745208 |    1610952 |    1688537 |    1758302 |    1781003 |    1502341
  num incorrect                      |        174 |        139 |        185 |        191 |        153 |        163 |        154 |        188 |        176 |        164 |        164 |        163 |        165 |        175 |        165 |        190
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31060 |      31052 |      31050 |      31071 |      31047 |      31061 |      31043 |      31061 |      31069 |      31059 |      31053 |      31081 |      31075 |      31087 |      31052 |      31079
    num cache misses                 |         15 |         15 |         12 |         13 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.04% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3427766 |    3267931 |    3319183 |    3615076 |    2857887 |    2830116 |    2812520 |    3261522 |    3530254 |    3448172 |    3588783 |    3320283 |    3475454 |    3615013 |    3660378 |    3103117
    num cache misses                 |      21866 |      19822 |      20165 |      22420 |      17021 |      17153 |      16815 |      20454 |      22874 |      20877 |      21358 |      19402 |      20681 |      22487 |      22808 |      18617
    miss rate                        |      0.64% |      0.61% |      0.61% |      0.62% |      0.60% |      0.61% |      0.60% |      0.63% |      0.65% |      0.61% |      0.60% |      0.58% |      0.60% |      0.62% |      0.62% |      0.60%
    mpki                             |       3.22 |       3.06 |       3.07 |       3.13 |       3.01 |       3.06 |       3.02 |       3.17 |       3.27 |       3.06 |       3.00 |       2.95 |       3.00 |       3.14 |       3.14 |       3.03
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      24124 |      21791 |      22083 |      24263 |      18950 |      19094 |      18709 |      22369 |      25247 |      22846 |      23315 |      21317 |      22583 |      24373 |      24313 |      20507
    num cache misses                 |      12617 |      11061 |      11040 |      12770 |       9230 |       9327 |       8908 |      12556 |      13376 |      11542 |      11306 |      10102 |      11460 |      12458 |      12524 |      10402
    miss rate                        |     52.30% |     50.76% |     49.99% |     52.63% |     48.71% |     48.85% |     47.61% |     56.13% |     52.98% |     50.52% |     48.49% |     47.39% |     50.75% |     51.11% |     51.51% |     50.72%
    mpki                             |       1.86 |       1.71 |       1.68 |       1.78 |       1.63 |       1.67 |       1.60 |       1.94 |       1.91 |       1.69 |       1.59 |       1.54 |       1.66 |       1.74 |       1.73 |       1.69
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14533 |      12702 |      12653 |      14296 |      11037 |      11134 |      10677 |      14354 |      15602 |      13221 |      12950 |      11760 |      13259 |      14206 |      13933 |      12191
    num cache misses                 |      10819 |       9701 |       9706 |      11455 |       7840 |       7948 |       7591 |       9963 |      11219 |      10213 |       9960 |       8893 |       9394 |      10101 |      10211 |       8981
    miss rate                        |     74.44% |     76.37% |     76.71% |     80.13% |     71.03% |     71.38% |     71.10% |     69.41% |     71.91% |     77.25% |     76.91% |     75.62% |     70.85% |     71.10% |     73.29% |     73.67%
    mpki                             |       1.59 |       1.50 |       1.48 |       1.60 |       1.39 |       1.42 |       1.36 |       1.54 |       1.60 |       1.49 |       1.40 |       1.35 |       1.36 |       1.41 |       1.41 |       1.46
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      97.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      44.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
