                                     | Core 0     | Core 1    
  Instructions                       |     356726 |     394485
  Cycles                             |     547895 |     547895
  IPC                                |       0.65 |       0.72
  Time (ns)                          |     205976 |     205976
  Idle time (ns)                     |      86264 |      79230
  Idle time (%)                      |      41.9% |      38.5%
Branch predictor stats               |            |           
  num correct                        |      56066 |      65505
  num incorrect                      |        136 |        136
  misprediction rate                 |      0.24% |      0.21%
  mpki                               |       0.38 |       0.34
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      30013 |      30014
    num cache misses                 |         11 |         11
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     210418 |     229296
    num cache misses                 |       1092 |       1164
    miss rate                        |      0.52% |      0.51%
    mpki                             |       3.06 |       2.95
  Cache L2                           |            |           
    num cache accesses               |       1717 |       1716
    num cache misses                 |         21 |          5
    miss rate                        |      1.22% |      0.29%
    mpki                             |       0.06 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         23 |          7
    num cache misses                 |         21 |          5
    miss rate                        |     91.30% |     71.43%
    mpki                             |       0.06 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         24 |          0
  average dram access latency (ns)   |      88.90 |        inf
  average dram queueing delay        |      35.47 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
