                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1392564 |    1392987 |    1391896 |    1394064 |    1393886 |    1392241 |    1393320 |    1391560 |    1394426 |    1393240 |    1394576 |    1391784 |    1393561 |    1392134 |    1392918 |    1394124
  Cycles                             |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400 |  101392400
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444 |   38117444
  Idle time (ns)                     |   36717132 |   36713489 |   36719478 |   36710535 |   36711142 |   36716097 |   36712833 |   36718814 |   36729041 |   36730721 |   36727862 |   36737129 |   36728726 |   36733932 |   36732066 |   36727867
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.4% |      96.4% |      96.4% |      96.4% |      96.4% |      96.4% |      96.4% |      96.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     108895 |     108949 |     108810 |     109122 |     109048 |     108916 |     109035 |     108758 |     109251 |     108986 |     109169 |     108820 |     109041 |     108869 |     108944 |     109104
  num incorrect                      |        169 |        178 |        168 |        200 |        196 |        142 |        168 |        160 |        173 |        174 |        200 |        147 |        185 |        153 |        182 |        194
  misprediction rate                 |      0.15% |      0.16% |      0.15% |      0.18% |      0.18% |      0.13% |      0.15% |      0.15% |      0.16% |      0.16% |      0.18% |      0.13% |      0.17% |      0.14% |      0.17% |      0.18%
  mpki                               |       0.12 |       0.13 |       0.12 |       0.14 |       0.14 |       0.10 |       0.12 |       0.11 |       0.12 |       0.12 |       0.14 |       0.11 |       0.13 |       0.11 |       0.13 |       0.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     219526 |     219543 |     219463 |     219693 |     219623 |     219409 |     219495 |     219475 |     219428 |     219567 |     219599 |     219447 |     219535 |     219455 |     219519 |     219585
    num cache misses                 |         20 |         22 |         22 |         66 |         22 |         21 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         21
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.03% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.02 |       0.02 |       0.05 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     948784 |     948935 |     948536 |     949382 |     949268 |     948626 |     949026 |     948431 |     949370 |     949030 |     949488 |     948494 |     949123 |     948614 |     948902 |     949333
    num cache misses                 |       2133 |       2224 |       2084 |       2224 |       2335 |       2177 |       2299 |       2049 |       2325 |       2102 |       2311 |       1917 |       2166 |       1997 |       2071 |       2219
    miss rate                        |      0.22% |      0.23% |      0.22% |      0.23% |      0.25% |      0.23% |      0.24% |      0.22% |      0.24% |      0.22% |      0.24% |      0.20% |      0.23% |      0.21% |      0.22% |      0.23%
    mpki                             |       1.53 |       1.60 |       1.50 |       1.60 |       1.68 |       1.56 |       1.65 |       1.47 |       1.67 |       1.51 |       1.66 |       1.38 |       1.55 |       1.43 |       1.49 |       1.59
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2458 |       2528 |       2390 |       2572 |       2691 |       2497 |       2602 |       2370 |       2814 |       2669 |       2795 |       2478 |       2731 |       2566 |       2639 |       2772
    num cache misses                 |       1726 |       1800 |       1700 |       1852 |       1938 |       1811 |       1866 |       1687 |       1665 |       1701 |       1658 |       1577 |       1722 |       1627 |       1668 |       1781
    miss rate                        |     70.22% |     71.20% |     71.13% |     72.01% |     72.02% |     72.53% |     71.71% |     71.18% |     59.17% |     63.73% |     59.32% |     63.64% |     63.05% |     63.41% |     63.21% |     64.25%
    mpki                             |       1.24 |       1.29 |       1.22 |       1.33 |       1.39 |       1.30 |       1.34 |       1.21 |       1.19 |       1.22 |       1.19 |       1.13 |       1.24 |       1.17 |       1.20 |       1.28
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2006 |       2052 |       1966 |       2105 |       2250 |       2089 |       2121 |       1968 |       2090 |       2220 |       2074 |       2101 |       2236 |       2148 |       2197 |       2283
    num cache misses                 |       1207 |       1240 |       1177 |       1331 |       1417 |       1252 |       1335 |       1165 |       1058 |       1132 |       1035 |       1070 |       1114 |       1113 |       1132 |       1126
    miss rate                        |     60.17% |     60.43% |     59.87% |     63.23% |     62.98% |     59.93% |     62.94% |     59.20% |     50.62% |     50.99% |     49.90% |     50.93% |     49.82% |     51.82% |     51.52% |     49.32%
    mpki                             |       0.87 |       0.89 |       0.85 |       0.95 |       1.02 |       0.90 |       0.96 |       0.84 |       0.76 |       0.81 |       0.74 |       0.77 |       0.80 |       0.80 |       0.81 |       0.81
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        250 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     205.88 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     152.45 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          6 |          4 |         60 |          5 |          5 |          5 |          6 |          5 |          5 |          5 |          6 |          5 |          6 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        578 |        588 |        587 |        585 |        644 |        621 |        603 |        585 |        553 |        635 |        549 |        630 |        627 |        646 |        648 |        617
