                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     219690 |     194178 |     194199 |     204202
  Cycles                             |     310813 |     310813 |     310813 |     310813
  IPC                                |       0.71 |       0.62 |       0.62 |       0.66
  Time (ns)                          |     116847 |     116847 |     116847 |     116847
  Idle time (ns)                     |      81440 |      85094 |      85066 |      84363
  Idle time (%)                      |      69.7% |      72.8% |      72.8% |      72.2%
Branch predictor stats               |            |            |            |           
  num correct                        |      34693 |      29585 |      29596 |      31616
  num incorrect                      |         57 |         66 |         62 |         40
  misprediction rate                 |      0.16% |      0.22% |      0.21% |      0.13%
  mpki                               |       0.26 |       0.34 |       0.32 |       0.20
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      74497 |      64291 |      64301 |      68297
    num cache misses                 |         15 |         16 |         14 |         16
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.08 |       0.07 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     135269 |     119963 |     119977 |     125976
    num cache misses                 |      35495 |      26018 |      25804 |      24843
    miss rate                        |     26.24% |     21.69% |     21.51% |     19.72%
    mpki                             |     161.57 |     133.99 |     132.87 |     121.66
  Cache L2                           |            |            |            |           
    num cache accesses               |      35548 |      26091 |      25874 |      24935
    num cache misses                 |          9 |          7 |         11 |         14
    miss rate                        |      0.03% |      0.03% |      0.04% |      0.06%
    mpki                             |       0.04 |       0.04 |       0.06 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |         10 |          9 |         13 |         16
    num cache misses                 |          9 |          7 |         11 |         14
    miss rate                        |     90.00% |     77.78% |     84.62% |     87.50%
    mpki                             |       0.04 |       0.04 |       0.06 |       0.07
DRAM summary                         |            |            |            |           
  num dram accesses                  |         41 |          0 |          0 |          0
  average dram access latency (ns)   |     103.28 |        inf |        inf |        inf
  average dram queueing delay        |      49.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
