                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1393199 |    1394189 |    1393849 |    1395618 |    1394211 |    1394359 |    1395046 |    1395605
  Cycles                             |   50578417 |   50578417 |   50578417 |   50578417 |   50578417 |   50578417 |   50578417 |   50578417
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   19014443 |   19014443 |   19014443 |   19014443 |   19014443 |   19014443 |   19014443 |   19014443
  Idle time (ns)                     |   17624246 |   17621817 |   17623496 |   17613871 |   17621722 |   17622435 |   17621065 |   17617444
  Idle time (%)                      |      92.7% |      92.7% |      92.7% |      92.6% |      92.7% |      92.7% |      92.7% |      92.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     108823 |     109031 |     108946 |     109203 |     109030 |     109039 |     109359 |     109196
  num incorrect                      |        241 |        236 |        250 |        252 |        231 |        245 |        260 |        264
  misprediction rate                 |      0.22% |      0.22% |      0.23% |      0.23% |      0.21% |      0.22% |      0.24% |      0.24%
  mpki                               |       0.17 |       0.17 |       0.18 |       0.18 |       0.17 |       0.18 |       0.19 |       0.19
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     219774 |     219786 |     219816 |     219895 |     219804 |     219808 |     219442 |     219884
    num cache misses                 |         21 |         66 |         66 |         65 |         66 |         66 |         66 |         66
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.02 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     949101 |     949453 |     949352 |     949971 |     949467 |     949518 |     949617 |     949965
    num cache misses                 |       2007 |       2137 |       2072 |       2311 |       2132 |       2146 |       2246 |       2336
    miss rate                        |      0.21% |      0.23% |      0.22% |      0.24% |      0.22% |      0.23% |      0.24% |      0.25%
    mpki                             |       1.44 |       1.53 |       1.49 |       1.66 |       1.53 |       1.54 |       1.61 |       1.67
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2214 |       2366 |       2311 |       2563 |       2368 |       2377 |       2497 |       2592
    num cache misses                 |       1157 |       1285 |       1163 |       1455 |       1254 |       1209 |       1296 |       1325
    miss rate                        |     52.26% |     54.31% |     50.32% |     56.77% |     52.96% |     50.86% |     51.90% |     51.12%
    mpki                             |       0.83 |       0.92 |       0.83 |       1.04 |       0.90 |       0.87 |       0.93 |       0.95
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1259 |       1385 |       1263 |       1570 |       1355 |       1307 |       1407 |       1438
    num cache misses                 |         16 |         31 |         21 |         20 |         50 |         18 |         72 |         44
    miss rate                        |      1.27% |      2.24% |      1.66% |      1.27% |      3.69% |      1.38% |      5.12% |      3.06%
    mpki                             |       0.01 |       0.02 |       0.02 |       0.01 |       0.04 |       0.01 |       0.05 |       0.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        260 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     166.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     112.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |         15 |          8 |          8 |         13 |          6 |         37 |         17
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
