                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     125471 |     139260 |     106132 |     123954 |     102000 |     122552 |     101897 |     132332
  Cycles                             |     797197 |     797197 |     797197 |     797197 |     797197 |     797197 |     797197 |     797197
  IPC                                |       0.16 |       0.17 |       0.13 |       0.16 |       0.13 |       0.15 |       0.13 |       0.17
  Time (ns)                          |     299698 |     299698 |     299698 |     299698 |     299698 |     299698 |     299698 |     299698
  Idle time (ns)                     |     104217 |      81634 |     141974 |     112277 |     152993 |      98139 |     160358 |      83971
  Idle time (%)                      |      34.8% |      27.2% |      47.4% |      37.5% |      51.0% |      32.7% |      53.5% |      28.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      13689 |      15973 |      10483 |      13429 |       9788 |      13202 |       9773 |      14830
  num incorrect                      |         61 |         84 |         48 |         70 |         51 |         63 |         56 |         65
  misprediction rate                 |      0.44% |      0.52% |      0.46% |      0.52% |      0.52% |      0.47% |      0.57% |      0.44%
  mpki                               |       0.49 |       0.60 |       0.45 |       0.56 |       0.50 |       0.51 |       0.55 |       0.49
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31495 |      36106 |      25053 |      30987 |      23667 |      30523 |      23644 |      33783
    num cache misses                 |         15 |         15 |         13 |         15 |         15 |         15 |         12 |         15
    miss rate                        |      0.05% |      0.04% |      0.05% |      0.05% |      0.06% |      0.05% |      0.05% |      0.04%
    mpki                             |       0.12 |       0.11 |       0.12 |       0.12 |       0.15 |       0.12 |       0.12 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      72270 |      79184 |      62595 |      71505 |      60528 |      70803 |      60491 |      75694
    num cache misses                 |      13664 |      10574 |       8330 |       9917 |       7358 |       9209 |       7103 |       9722
    miss rate                        |     18.91% |     13.35% |     13.31% |     13.87% |     12.16% |     13.01% |     11.74% |     12.84%
    mpki                             |     108.90 |      75.93 |      78.49 |      80.01 |      72.14 |      75.14 |      69.71 |      73.47
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      13816 |      10749 |       8459 |      10038 |       7495 |       9401 |       7268 |       9967
    num cache misses                 |       6877 |       5227 |       4018 |       4387 |       4427 |       5888 |       4166 |       6155
    miss rate                        |     49.78% |     48.63% |     47.50% |     43.70% |     59.07% |     62.63% |     57.32% |     61.75%
    mpki                             |      54.81 |      37.53 |      37.86 |      35.39 |      43.40 |      48.04 |      40.88 |      46.51
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       7130 |       5342 |       4118 |       4466 |       4505 |       6009 |       4242 |       6299
    num cache misses                 |         10 |          6 |          9 |         12 |          7 |          5 |          8 |          5
    miss rate                        |      0.14% |      0.11% |      0.22% |      0.27% |      0.16% |      0.08% |      0.19% |      0.08%
    mpki                             |       0.08 |       0.04 |       0.08 |       0.10 |       0.07 |       0.04 |       0.08 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     100.73 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      47.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          4 |          4 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
