                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      85724 |      85503 |      85824 |      87152
  Cycles                             |     631346 |     631346 |     631346 |     631346
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |     237348 |     237348 |     237348 |     237348
  Idle time (ns)                     |     218239 |     217873 |     217760 |     214121
  Idle time (%)                      |      91.9% |      91.8% |      91.7% |      90.2%
Branch predictor stats               |            |            |            |           
  num correct                        |       9037 |       9012 |       9036 |       9286
  num incorrect                      |        220 |        222 |        225 |        233
  misprediction rate                 |      2.38% |      2.40% |      2.43% |      2.45%
  mpki                               |       2.57 |       2.60 |       2.62 |       2.67
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      16230 |      16205 |      16269 |      16372
    num cache misses                 |         22 |         22 |         22 |         67
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.41%
    mpki                             |       0.26 |       0.26 |       0.26 |       0.77
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      49134 |      49052 |      49191 |      49696
    num cache misses                 |       1273 |       1570 |       1384 |       1409
    miss rate                        |      2.59% |      3.20% |      2.81% |      2.84%
    mpki                             |      14.85 |      18.36 |      16.13 |      16.17
  Cache L2                           |            |            |            |           
    num cache accesses               |       1604 |       2029 |       1750 |       1845
    num cache misses                 |         11 |         19 |          8 |        129
    miss rate                        |      0.69% |      0.94% |      0.46% |      6.99%
    mpki                             |       0.13 |       0.22 |       0.09 |       1.48
  Cache L3                           |            |            |            |           
    num cache accesses               |         12 |         21 |         10 |        136
    num cache misses                 |         11 |         19 |          8 |        129
    miss rate                        |     91.67% |     90.48% |     80.00% |     94.85%
    mpki                             |       0.13 |       0.22 |       0.09 |       1.48
DRAM summary                         |            |            |            |           
  num dram accesses                  |        166 |          0 |          0 |          0
  average dram access latency (ns)   |     118.45 |        inf |        inf |        inf
  average dram queueing delay        |      65.03 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          6 |          4 |         61
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
