                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   96061033 |   95511716 |   93317829 |   91405826 |   95887306 |   86056730 |   89960986 |   95589212 |   88396897 |   96164698 |   92395084 |   95256280 |   93032410 |   88449128 |   91323148 |   94991344
  Cycles                             |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595 |   52690595
  IPC                                |       1.82 |       1.81 |       1.77 |       1.73 |       1.82 |       1.63 |       1.71 |       1.81 |       1.68 |       1.83 |       1.75 |       1.81 |       1.77 |       1.68 |       1.73 |       1.80
  Time (ns)                          |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495 |   19808495
  Idle time (ns)                     |      82920 |     218944 |     672582 |    1044788 |     143785 |    2081837 |    1325815 |     193973 |    1588558 |      90141 |     861322 |     300944 |     713375 |    1612029 |    1057834 |     327060
  Idle time (%)                      |       0.4% |       1.1% |       3.4% |       5.3% |       0.7% |      10.5% |       6.7% |       1.0% |       8.0% |       0.5% |       4.3% |       1.5% |       3.6% |       8.1% |       5.3% |       1.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   23779104 |   23641772 |   23093345 |   22615342 |   23735687 |   21278048 |   22254113 |   23661160 |   21863097 |   23805055 |   22862631 |   23577911 |   23021978 |   21876153 |   22594661 |   23511705
  num incorrect                      |        389 |        396 |        359 |        357 |        376 |        369 |        379 |        370 |        363 |        359 |        383 |        386 |        373 |        364 |        358 |        367
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     211083 |     211073 |     211060 |     211065 |     211075 |     211081 |     211059 |     211095 |     211079 |     211071 |     211063 |     211095 |     211057 |     211079 |     211087 |     211077
    num cache misses                 |         11 |         15 |         14 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         10 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   48287035 |   48012388 |   46915450 |   45959446 |   48200180 |   43284890 |   45237028 |   48051123 |   44454975 |   48338878 |   46454076 |   47884657 |   46772736 |   44481089 |   45918096 |   47752198
    num cache misses                 |      28332 |      27499 |      26934 |      26108 |      27895 |      24524 |      25657 |      27740 |      25649 |      27765 |      26349 |      27322 |      26693 |      25253 |      26107 |      27298
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.28 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30680 |      29465 |      28901 |      28063 |      29838 |      26482 |      27584 |      29691 |      28118 |      29755 |      28330 |      29302 |      28648 |      27240 |      28067 |      29251
    num cache misses                 |      14315 |      13522 |      12795 |      12270 |      13932 |      11462 |      11995 |      13815 |      12680 |      13894 |      12291 |      12835 |      12854 |      11892 |      12115 |      13507
    miss rate                        |     46.66% |     45.89% |     44.27% |     43.72% |     46.69% |     43.28% |     43.49% |     46.53% |     45.10% |     46.69% |     43.39% |     43.80% |     44.87% |     43.66% |     43.16% |     46.18%
    mpki                             |       0.15 |       0.14 |       0.14 |       0.13 |       0.15 |       0.13 |       0.13 |       0.14 |       0.14 |       0.14 |       0.13 |       0.13 |       0.14 |       0.13 |       0.13 |       0.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16493 |      15253 |      14542 |      14015 |      15784 |      13312 |      13815 |      15667 |      14992 |      15682 |      14062 |      14601 |      14725 |      13783 |      13974 |      15374
    num cache misses                 |      12329 |      12106 |      11320 |      10876 |      11749 |       9727 |      10194 |      11905 |      10739 |      12403 |      10858 |      11385 |      10705 |      10025 |      10202 |      11622
    miss rate                        |     74.75% |     79.37% |     77.84% |     77.60% |     74.44% |     73.07% |     73.79% |     75.99% |     71.63% |     79.09% |     77.22% |     77.97% |     72.70% |     72.73% |     73.01% |     75.60%
    mpki                             |       0.13 |       0.13 |       0.12 |       0.12 |       0.12 |       0.11 |       0.11 |       0.12 |       0.12 |       0.13 |       0.12 |       0.12 |       0.12 |       0.11 |       0.11 |       0.12
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         99 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     182.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     129.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          4 |          3 |          2 |          4 |          3 |          5
