                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   43969938 |   45125255 |   44071842 |   42005075 |   43718758 |   42100354 |   44590479 |   41196906
  Cycles                             |   25924858 |   25924858 |   25924858 |   25924858 |   25924858 |   25924858 |   25924858 |   25924858
  IPC                                |       1.70 |       1.74 |       1.70 |       1.62 |       1.69 |       1.62 |       1.72 |       1.59
  Time (ns)                          |    9746187 |    9746187 |    9746187 |    9746187 |    9746187 |    9746187 |    9746187 |    9746187
  Idle time (ns)                     |     223706 |      81599 |     305099 |     707374 |     370668 |     686238 |     205498 |     852208
  Idle time (%)                      |       2.3% |       0.8% |       3.1% |       7.3% |       3.8% |       7.0% |       2.1% |       8.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10756573 |   11045446 |   10782069 |   10265387 |   10693772 |   10289191 |   10911732 |   10063351
  num incorrect                      |        399 |        360 |        378 |        375 |        410 |        383 |        389 |        376
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     210090 |     210078 |     210095 |     210077 |     210079 |     210099 |     210062 |     210063
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         14 |         12
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   22242005 |   22819668 |   22292957 |   21259578 |   22116419 |   21307213 |   22552285 |   20855494
    num cache misses                 |      12507 |      11210 |      11006 |      10519 |       8006 |       7615 |       8437 |       7370
    miss rate                        |      0.06% |      0.05% |      0.05% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.28 |       0.25 |       0.25 |       0.25 |       0.18 |       0.18 |       0.19 |       0.18
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      13514 |      11893 |      11787 |      11152 |       9848 |       9385 |       9985 |       9096
    num cache misses                 |       5259 |       2747 |       1643 |       1132 |       1384 |       1155 |       1559 |       1203
    miss rate                        |     38.92% |     23.10% |     13.94% |     10.15% |     14.05% |     12.31% |     15.61% |     13.23%
    mpki                             |       0.12 |       0.06 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5814 |       2901 |       1847 |       1324 |       3131 |       2843 |       3027 |       2884
    num cache misses                 |          7 |          9 |          6 |         10 |          5 |          7 |         13 |          6
    miss rate                        |      0.12% |      0.31% |      0.32% |      0.76% |      0.16% |      0.25% |      0.43% |      0.21%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      96.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      43.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          6 |          3 |          3 |          4 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
