                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     618006 |     605437 |     517828 |     584283 |     492799 |     473142 |     530806 |     454483
  Cycles                             |    2966971 |    2966971 |    2966971 |    2966971 |    2966971 |    2966971 |    2966971 |    2966971
  IPC                                |       0.21 |       0.20 |       0.17 |       0.20 |       0.17 |       0.16 |       0.18 |       0.15
  Time (ns)                          |    1115403 |    1115403 |    1115403 |    1115403 |    1115403 |    1115403 |    1115403 |    1115403
  Idle time (ns)                     |      85337 |      83631 |     171294 |     113781 |      85039 |     181259 |      83486 |     346872
  Idle time (%)                      |       7.7% |       7.5% |      15.4% |      10.2% |       7.6% |      16.3% |       7.5% |      31.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      99902 |      97396 |      79870 |      93166 |      74883 |      70949 |      82473 |      67222
  num incorrect                      |        113 |        104 |        110 |        102 |         94 |         94 |        104 |         89
  misprediction rate                 |      0.11% |      0.11% |      0.14% |      0.11% |      0.13% |      0.13% |      0.13% |      0.13%
  mpki                               |       0.18 |       0.17 |       0.21 |       0.17 |       0.19 |       0.20 |       0.20 |       0.20
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     205022 |     200002 |     164951 |     191531 |     154940 |     147075 |     170146 |     139613
    num cache misses                 |         16 |         15 |         16 |         17 |         13 |         16 |         15 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     385057 |     377521 |     324951 |     364822 |     309936 |     298140 |     332742 |     286944
    num cache misses                 |      64890 |      49139 |      41898 |      47662 |      41387 |      37943 |      42586 |      33075
    miss rate                        |     16.85% |     13.02% |     12.89% |     13.06% |     13.35% |     12.73% |     12.80% |     11.53%
    mpki                             |     105.00 |      81.16 |      80.91 |      81.57 |      83.98 |      80.19 |      80.23 |      72.77
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      64980 |      49191 |      41954 |      47719 |      41451 |      37995 |      42656 |      33124
    num cache misses                 |      31979 |      21519 |      20428 |      21301 |      26752 |      23585 |      26519 |      18564
    miss rate                        |     49.21% |     43.75% |     48.69% |     44.64% |     64.54% |     62.07% |     62.17% |     56.04%
    mpki                             |      51.75 |      35.54 |      39.45 |      36.46 |      54.29 |      49.85 |      49.96 |      40.85
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      32230 |      21560 |      20455 |      21334 |      26797 |      23615 |      26571 |      18596
    num cache misses                 |         10 |          7 |          6 |         10 |          5 |          7 |         14 |          5
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.05% |      0.02% |      0.03% |      0.05% |      0.03%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.03 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         61 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      85.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      32.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          4 |          3 |          4 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
