                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   92451324 |   83541092 |   87240591 |   95894751 |   89457988 |   94302905 |   94968496 |   95914817 |   83292863 |   95270829 |   95709549 |   89688844 |   85007708 |   94807738 |   94970568 |   94598135
  Cycles                             |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110 |   52554110
  IPC                                |       1.76 |       1.59 |       1.66 |       1.82 |       1.70 |       1.79 |       1.81 |       1.83 |       1.58 |       1.81 |       1.82 |       1.71 |       1.62 |       1.80 |       1.81 |       1.80
  Time (ns)                          |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184 |   19757184
  Idle time (ns)                     |     747805 |    2513944 |    1799761 |     103983 |    1350911 |     404364 |     264673 |      82880 |    2528271 |     200627 |     137355 |    1335172 |    2221759 |     309667 |     295058 |     344940
  Idle time (%)                      |       3.8% |      12.7% |       9.1% |       0.5% |       6.8% |       2.0% |       1.3% |       0.4% |      12.8% |       1.0% |       0.7% |       6.8% |      11.2% |       1.6% |       1.5% |       1.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   22876926 |   20649411 |   21574261 |   23737809 |   22128618 |   23339867 |   23506210 |   23742822 |   20587370 |   23581819 |   23691497 |   22186346 |   21016035 |   23466073 |   23506744 |   23413623
  num incorrect                      |        397 |        359 |        379 |        370 |        374 |        357 |        402 |        378 |        345 |        380 |        384 |        361 |        381 |        359 |        392 |        398
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     210078 |     210067 |     210077 |     210081 |     210077 |     210065 |     210086 |     210066 |     210063 |     210082 |     210077 |     210072 |     210087 |     210067 |     210075 |     210093
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   46482701 |   42027589 |   43877334 |   48204415 |   44986035 |   47408496 |   47741289 |   48214451 |   41903477 |   47892455 |   48111816 |   45101462 |   42760891 |   47660912 |   47742324 |   47556104
    num cache misses                 |      27319 |      23975 |      25193 |      27863 |      26041 |      27624 |      27907 |      28030 |      24353 |      27744 |      27881 |      25889 |      24498 |      27648 |      27605 |      27423
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.30 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      29787 |      25946 |      27180 |      29800 |      28004 |      29582 |      29874 |      29934 |      26837 |      29756 |      29890 |      27876 |      26467 |      29617 |      29583 |      29402
    num cache misses                 |      13777 |      11464 |      11831 |      13660 |      12656 |      13495 |      13571 |      13810 |      12007 |      13933 |      13551 |      12011 |      11725 |      13364 |      13034 |      13427
    miss rate                        |     46.25% |     44.18% |     43.53% |     45.84% |     45.19% |     45.62% |     45.43% |     46.13% |     44.74% |     46.82% |     45.34% |     43.09% |     44.30% |     45.12% |     44.06% |     45.67%
    mpki                             |       0.15 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.15 |       0.14 |       0.13 |       0.14 |       0.14 |       0.14 |       0.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16120 |      13211 |      13593 |      15392 |      14520 |      15345 |      15401 |      15589 |      14298 |      15744 |      15335 |      13786 |      13618 |      15236 |      14918 |      15291
    num cache misses                 |      11708 |      10250 |      10496 |      11849 |      10667 |      11532 |      11573 |      12002 |      10156 |      12400 |      12004 |      10632 |       9769 |      11309 |      11051 |      11719
