                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     508825 |     587384 |     535329 |     565600 |     520217 |     569543 |     622236 |     519723
  Cycles                             |    3332093 |    3332093 |    3332093 |    3332093 |    3332093 |    3332093 |    3332093 |    3332093
  IPC                                |       0.15 |       0.18 |       0.16 |       0.17 |       0.16 |       0.17 |       0.19 |       0.16
  Time (ns)                          |    1252667 |    1252667 |    1252667 |    1252667 |    1252667 |    1252667 |    1252667 |    1252667
  Idle time (ns)                     |     271472 |      79572 |     163630 |     145843 |     206110 |     119998 |      93234 |     312074
  Idle time (%)                      |      21.7% |       6.4% |      13.1% |      11.6% |      16.5% |       9.6% |       7.4% |      24.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      67071 |      80177 |      71495 |      76539 |      68978 |      77200 |      85975 |      68894
  num incorrect                      |         85 |         68 |         75 |         76 |         74 |         72 |         79 |         75
  misprediction rate                 |      0.13% |      0.08% |      0.10% |      0.10% |      0.11% |      0.09% |      0.09% |      0.11%
  mpki                               |       0.17 |       0.12 |       0.14 |       0.13 |       0.14 |       0.13 |       0.13 |       0.14
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     138298 |     164482 |     147135 |     157219 |     142089 |     158537 |     176097 |     141933
    num cache misses                 |         10 |         15 |         15 |         15 |         15 |         15 |         15 |         13
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     286467 |     325748 |     299720 |     314854 |     292164 |     316825 |     343173 |     291917
    num cache misses                 |      59469 |      49709 |      47012 |      48284 |      43892 |      46856 |      48903 |      40780
    miss rate                        |     20.76% |     15.26% |     15.69% |     15.34% |     15.02% |     14.79% |     14.25% |     13.97%
    mpki                             |     116.88 |      84.63 |      87.82 |      85.37 |      84.37 |      82.27 |      78.59 |      78.46
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      59523 |      49748 |      47060 |      48321 |      43934 |      46906 |      48967 |      40837
    num cache misses                 |      32826 |      26082 |      24041 |      24128 |      26776 |      28609 |      28968 |      22948
    miss rate                        |     55.15% |     52.43% |     51.09% |     49.93% |     60.95% |     60.99% |     59.16% |     56.19%
    mpki                             |      64.51 |      44.40 |      44.91 |      42.66 |      51.47 |      50.23 |      46.55 |      44.15
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      33070 |      26112 |      24068 |      24155 |      26799 |      28634 |      29004 |      22972
    num cache misses                 |          6 |         10 |          5 |          5 |         11 |          7 |          6 |         12
    miss rate                        |      0.02% |      0.04% |      0.02% |      0.02% |      0.04% |      0.02% |      0.02% |      0.05%
    mpki                             |       0.01 |       0.02 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     133.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      80.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          3 |          4 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
