                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   41844725 |   42920051 |   43917170 |   42569911 |   42305750 |   44829807 |   45247528 |   37639429
  Cycles                             |   25974947 |   25974947 |   25974947 |   25974947 |   25974947 |   25974947 |   25974947 |   25974947
  IPC                                |       1.61 |       1.65 |       1.69 |       1.64 |       1.63 |       1.73 |       1.74 |       1.45
  Time (ns)                          |    9765018 |    9765018 |    9765018 |    9765018 |    9765018 |    9765018 |    9765018 |    9765018
  Idle time (ns)                     |     731685 |     546792 |     358964 |     613619 |     615854 |     155911 |      81670 |    1518492
  Idle time (%)                      |       7.5% |       5.6% |       3.7% |       6.3% |       6.3% |       1.6% |       0.8% |      15.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10225060 |   10493877 |   10743120 |   10406310 |   10340311 |   10971331 |   11075745 |    9173766
  num incorrect                      |        367 |        380 |        404 |        397 |        370 |        355 |        376 |        338
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211061 |     211067 |     211091 |     211093 |     211067 |     211083 |     211074 |     211059
    num cache misses                 |         11 |         10 |         10 |         12 |         10 |         12 |         11 |         12
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21178892 |   21716550 |   22215099 |   21541469 |   21409401 |   22671422 |   22880286 |   19076246
    num cache misses                 |       8914 |       8549 |       8600 |       8264 |      10795 |      11405 |      11342 |       9879
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.21 |       0.20 |       0.20 |       0.19 |       0.26 |       0.25 |       0.25 |       0.26
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11563 |      10308 |      10397 |      10076 |      11549 |      12068 |      12157 |      10489
    num cache misses                 |       1660 |       1195 |       1044 |       1032 |       3193 |       2536 |       2275 |       2433
    miss rate                        |     14.36% |     11.59% |     10.04% |     10.24% |     27.65% |     21.01% |     18.71% |     23.20%
    mpki                             |       0.04 |       0.03 |       0.02 |       0.02 |       0.08 |       0.06 |       0.05 |       0.06
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4120 |       2449 |       2400 |       2453 |       3494 |       2719 |       2500 |       2708
    num cache misses                 |          9 |          4 |          5 |         18 |          4 |          4 |          4 |          5
    miss rate                        |      0.22% |      0.16% |      0.21% |      0.73% |      0.11% |      0.15% |      0.16% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         50 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     106.60 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      53.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          2 |          3 |          5 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
