                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6150855 |    4938298 |    5145947 |    6081895 |    5542235 |    6320363 |    4359565 |    5234907 |    6370142 |    5345931 |    5231766 |    4950373 |    5542088 |    6371876 |    4773977 |    5837964
  Cycles                             |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698 |   60261698
  IPC                                |       0.10 |       0.08 |       0.09 |       0.10 |       0.09 |       0.10 |       0.07 |       0.09 |       0.11 |       0.09 |       0.09 |       0.08 |       0.09 |       0.11 |       0.08 |       0.10
  Time (ns)                          |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774 |   22654774
  Idle time (ns)                     |    1035005 |    3699570 |    3114302 |     230211 |     651225 |      99600 |    6046746 |    2218418 |     414535 |    2591688 |    3205569 |    4614263 |    1351772 |      83853 |    4681962 |     900822
  Idle time (%)                      |       4.6% |      16.3% |      13.7% |       1.0% |       2.9% |       0.4% |      26.7% |       9.8% |       1.8% |      11.4% |      14.1% |      20.4% |       6.0% |       0.4% |      20.7% |       4.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1062497 |     819990 |     861505 |    1048691 |     940781 |    1096394 |     704236 |     879305 |    1106351 |     901518 |     878676 |     822394 |     940733 |    1106673 |     787114 |     999906
  num incorrect                      |         94 |         85 |         99 |        104 |         82 |         94 |         92 |         91 |         93 |         87 |         93 |         96 |         99 |        116 |         96 |        103
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2130168 |    1645144 |    1728197 |    2102584 |    1886720 |    2197965 |    1413645 |    1763779 |    2217875 |    1808202 |    1762530 |    1649969 |    1886659 |    2218572 |    1579413 |    2005012
    num cache misses                 |         11 |         16 |         16 |         15 |         15 |         16 |         16 |         15 |         16 |         13 |         15 |         16 |         16 |         16 |         16 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3812772 |    3085236 |    3209823 |    3771397 |    3447601 |    3914474 |    2737993 |    3263200 |    3944341 |    3329820 |    3261318 |    3092480 |    3447509 |    3945381 |    2986642 |    3625037
    num cache misses                 |     847857 |     535227 |     549202 |     628275 |     572294 |     585583 |     430260 |     516855 |     843803 |     574898 |     550481 |     507754 |     569326 |     603720 |     475943 |     565343
    miss rate                        |     22.24% |     17.35% |     17.11% |     16.66% |     16.60% |     14.96% |     15.71% |     15.84% |     21.39% |     17.27% |     16.88% |     16.42% |     16.51% |     15.30% |     15.94% |     15.60%
    mpki                             |     137.84 |     108.38 |     106.73 |     103.30 |     103.26 |      92.65 |      98.69 |      98.73 |     132.46 |     107.54 |     105.22 |     102.57 |     102.73 |      94.75 |      99.70 |      96.84
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     848122 |     535417 |     549419 |     628498 |     572513 |     585837 |     430435 |     517035 |     843962 |     574974 |     550566 |     507824 |     569440 |     603898 |     476028 |     565449
    num cache misses                 |     666616 |     409362 |     422306 |     484817 |     475038 |     485816 |     350984 |     430942 |     673597 |     433339 |     414393 |     381760 |     455317 |     484105 |     379697 |     457837
    miss rate                        |     78.60% |     76.46% |     76.86% |     77.14% |     82.97% |     82.93% |     81.54% |     83.35% |     79.81% |     75.37% |     75.27% |     75.18% |     79.96% |     80.16% |     79.76% |     80.97%
    mpki                             |     108.38 |      82.90 |      82.07 |      79.71 |      85.71 |      76.87 |      80.51 |      82.32 |     105.74 |      81.06 |      79.21 |      77.12 |      82.16 |      75.98 |      79.53 |      78.42
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     666981 |     409527 |     422485 |     485008 |     475216 |     486029 |     351134 |     431087 |     673826 |     433392 |     414448 |     381800 |     455404 |     484250 |     379757 |     457907
    num cache misses                 |     446287 |     304338 |     312831 |     346490 |     309705 |     317493 |     234302 |     310834 |     434965 |     302376 |     285543 |     262157 |     289434 |     311763 |     241314 |     328850
    miss rate                        |     66.91% |     74.31% |     74.05% |     71.44% |     65.17% |     65.32% |     66.73% |     72.10% |     64.55% |     69.77% |     68.90% |     68.66% |     63.56% |     64.38% |     63.54% |     71.82%
    mpki                             |      72.56 |      61.63 |      60.79 |      56.97 |      55.88 |      50.23 |      53.74 |      59.38 |      68.28 |      56.56 |      54.58 |      52.96 |      52.22 |      48.93 |      50.55 |      56.33
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     140.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      87.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          3 |          3 |          4 |          3 |          3 |          4 |          4 |          3 |          3 |          3 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     106073 |     115270 |     120020 |     141934 |     141676 |     147383 |     108348 |     140778 |     105946 |     112933 |     110195 |     107821 |     123558 |     131051 |     109008 |     137155
