                                     | Core 0     | Core 1    
  Instructions                       |    1393893 |    1393222
  Cycles                             |   12372067 |   12372067
  IPC                                |       0.11 |       0.11
  Time (ns)                          |    4651153 |    4651153
  Idle time (ns)                     |    3300232 |    3301727
  Idle time (%)                      |      71.0% |      71.0%
Branch predictor stats               |            |           
  num correct                        |     109222 |     108860
  num incorrect                      |        255 |        231
  misprediction rate                 |      0.23% |      0.21%
  mpki                               |       0.18 |       0.17
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     219330 |     219727
    num cache misses                 |         65 |         20
    miss rate                        |      0.03% |      0.01%
    mpki                             |       0.05 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |     949184 |     949088
    num cache misses                 |       2029 |       1968
    miss rate                        |      0.21% |      0.21%
    mpki                             |       1.46 |       1.41
  Cache L2                           |            |           
    num cache accesses               |       2268 |       2154
    num cache misses                 |        138 |         14
    miss rate                        |      6.08% |      0.65%
    mpki                             |       0.10 |       0.01
  Cache L3                           |            |           
    num cache accesses               |        145 |         16
    num cache misses                 |        138 |         14
    miss rate                        |     95.17% |     87.50%
    mpki                             |       0.10 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |        150 |          0
  average dram access latency (ns)   |     156.25 |        inf
  average dram queueing delay        |     102.82 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         63 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
