                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    6785780 |    6542429 |    5506326 |    5585223 |    6024062 |    5480068 |    7138552 |    4458441
  Cycles                             |   29160005 |   29160005 |   29160005 |   29160005 |   29160005 |   29160005 |   29160005 |   29160005
  IPC                                |       0.23 |       0.22 |       0.19 |       0.19 |       0.21 |       0.19 |       0.24 |       0.15
  Time (ns)                          |   10962408 |   10962408 |   10962408 |   10962408 |   10962408 |   10962408 |   10962408 |   10962408
  Idle time (ns)                     |     373995 |     303378 |    1815159 |    2007479 |     477216 |    1152551 |      80599 |    4077448
  Idle time (%)                      |       3.4% |       2.8% |      16.6% |      18.3% |       4.4% |      10.5% |       0.7% |      37.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1189454 |    1140782 |     933576 |     949350 |    1037108 |     928327 |    1260021 |     724007
  num incorrect                      |        122 |        119 |        106 |        113 |        119 |         99 |        103 |         96
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2384138 |    2286789 |    1872352 |    1903911 |    2079443 |    1861842 |    2525240 |    1453197
    num cache misses                 |         11 |         16 |         13 |         14 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    4193727 |    4047712 |    3426052 |    3473392 |    3736691 |    3410295 |    4405385 |    2797321
    num cache misses                 |     672570 |     502415 |     431927 |     427164 |     467789 |     433530 |     494121 |     297889
    miss rate                        |     16.04% |     12.41% |     12.61% |     12.30% |     12.52% |     12.71% |     11.22% |     10.65%
    mpki                             |      99.11 |      76.79 |      78.44 |      76.48 |      77.65 |      79.11 |      69.22 |      66.81
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     672640 |     502459 |     431957 |     427198 |     467842 |     433567 |     494181 |     297927
    num cache misses                 |     312135 |     213733 |     178049 |     171065 |     247849 |     228359 |     253155 |     145848
    miss rate                        |     46.40% |     42.54% |     41.22% |     40.04% |     52.98% |     52.67% |     51.23% |     48.95%
    mpki                             |      46.00 |      32.67 |      32.34 |      30.63 |      41.14 |      41.67 |      35.46 |      32.71
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     312383 |     213760 |     178072 |     171085 |     247876 |     228378 |     253186 |     145865
    num cache misses                 |          6 |          5 |          5 |         13 |          9 |          6 |          6 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     117.47 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      64.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          5 |          4 |          4 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
