                                     | Core 0     | Core 1    
  Instructions                       |     117158 |     118742
  Cycles                             |     263783 |     263783
  IPC                                |       0.44 |       0.45
  Time (ns)                          |      99167 |      99167
  Idle time (ns)                     |      79186 |      79337
  Idle time (%)                      |      79.9% |      80.0%
Branch predictor stats               |            |           
  num correct                        |      14187 |      14521
  num incorrect                      |         62 |         48
  misprediction rate                 |      0.44% |      0.33%
  mpki                               |       0.53 |       0.40
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      33494 |      34121
    num cache misses                 |         12 |         11
    miss rate                        |      0.04% |      0.03%
    mpki                             |       0.10 |       0.09
  Cache L1-D                         |            |           
    num cache accesses               |      73754 |      74704
    num cache misses                 |       4949 |       4967
    miss rate                        |      6.71% |      6.65%
    mpki                             |      42.24 |      41.83
  Cache L2                           |            |           
    num cache accesses               |       5100 |       5098
    num cache misses                 |         21 |          6
    miss rate                        |      0.41% |      0.12%
    mpki                             |       0.18 |       0.05
  Cache L3                           |            |           
    num cache accesses               |         23 |          8
    num cache misses                 |         21 |          6
    miss rate                        |     91.30% |     75.00%
    mpki                             |       0.18 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      97.77 |        inf
  average dram queueing delay        |      44.34 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
