                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |       3260 |       3503 |       2747 |       3376 |       3281 |       3193 |       3254 |       3096 |       3675 |       3262 |       3385 |       3361 |       3445 |       3342 |       3235 |       3182
    miss rate                        |      6.05% |      6.59% |      5.26% |      6.29% |      6.12% |      5.96% |      6.08% |      5.86% |      6.81% |      6.14% |      6.28% |      6.26% |      6.46% |      6.27% |      6.07% |      5.94%
    mpki                             |      33.63 |      36.71 |      29.52 |      34.99 |      34.05 |      33.17 |      33.85 |      32.81 |      37.85 |      34.21 |      34.89 |      34.83 |      36.01 |      34.97 |      33.87 |      33.03
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4177 |       4469 |       3529 |       4365 |       4179 |       4130 |       4196 |       3938 |       4686 |       4071 |       4257 |       4230 |       4322 |       4220 |       4057 |       4009
    num cache misses                 |       2680 |       2946 |       2277 |       2842 |       2727 |       2745 |       2766 |       2677 |       2960 |       2708 |       2818 |       2751 |       2929 |       2779 |       2652 |       2677
    miss rate                        |     64.16% |     65.92% |     64.52% |     65.11% |     65.25% |     66.46% |     65.92% |     67.98% |     63.17% |     66.52% |     66.20% |     65.04% |     67.77% |     65.85% |     65.37% |     66.77%
    mpki                             |      27.65 |      30.88 |      24.47 |      29.45 |      28.30 |      28.51 |      28.78 |      28.37 |      30.49 |      28.40 |      29.04 |      28.51 |      30.62 |      29.08 |      27.77 |      27.78
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3432 |       3712 |       2867 |       3638 |       3432 |       3445 |       3485 |       3371 |       3782 |       3340 |       3495 |       3409 |       3599 |       3431 |       3258 |       3293
    num cache misses                 |       1977 |       2291 |       1713 |       2186 |       2045 |       2018 |       2053 |       2050 |       2133 |       1979 |       2068 |       2075 |       2116 |       1971 |       1937 |       1987
    miss rate                        |     57.60% |     61.72% |     59.75% |     60.09% |     59.59% |     58.58% |     58.91% |     60.81% |     56.40% |     59.25% |     59.17% |     60.87% |     58.79% |     57.45% |     59.45% |     60.34%
    mpki                             |      20.40 |      24.01 |      18.41 |      22.66 |      21.22 |      20.96 |      21.36 |      21.73 |      21.97 |      20.75 |      21.31 |      21.51 |      22.12 |      20.62 |      20.28 |      20.62
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        405 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     290.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     236.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |         31 |          6 |         15 |         24 |          5 |         12 |          6 |          6 |          6 |          5 |          5 |          7 |          6 |          5 |          6 |          8
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        854 |       1002 |        740 |        924 |        889 |        883 |        857 |        855 |        934 |        881 |        908 |        897 |        924 |        893 |        830 |        868
