                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      96929 |      95413 |      93052 |      96490 |      96365 |      96275 |      96122 |      94349 |      97094 |      95354 |      97023 |      96489 |      95657 |      95571 |      95513 |      96350
  Cycles                             |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510 |    4009510
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335 |    1507335
  Idle time (ns)                     |    1405616 |    1395736 |    1417724 |    1403426 |    1403146 |    1404653 |    1402721 |    1408700 |    1405627 |    1411040 |    1404013 |    1405991 |    1400351 |    1405824 |    1407714 |    1406632
  Idle time (%)                      |      93.3% |      92.6% |      94.1% |      93.1% |      93.1% |      93.2% |      93.1% |      93.5% |      93.3% |      93.6% |      93.1% |      93.3% |      92.9% |      93.3% |      93.4% |      93.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       9640 |       9507 |       9391 |       9519 |       9516 |       9531 |       9534 |       9309 |       9479 |       9550 |       9530 |       9481 |       9479 |       9465 |       9473 |       9554
  num incorrect                      |        468 |        443 |        379 |        487 |        483 |        457 |        477 |        436 |        505 |        420 |        512 |        489 |        469 |        471 |        467 |        465
  misprediction rate                 |      4.63% |      4.45% |      3.88% |      4.87% |      4.83% |      4.58% |      4.76% |      4.47% |      5.06% |      4.21% |      5.10% |      4.90% |      4.71% |      4.74% |      4.70% |      4.64%
  mpki                               |       4.83 |       4.64 |       4.07 |       5.05 |       5.01 |       4.75 |       4.96 |       4.62 |       5.20 |       4.40 |       5.28 |       5.07 |       4.90 |       4.93 |       4.89 |       4.83
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18644 |      18327 |      17866 |      18624 |      18588 |      18571 |      18474 |      18285 |      18886 |      18270 |      18737 |      18694 |      18436 |      18415 |      18403 |      18531
    num cache misses                 |         66 |         66 |         66 |         66 |         66 |         65 |         65 |         21 |         66 |         66 |         65 |         66 |         66 |         66 |         66 |         65
    miss rate                        |      0.35% |      0.36% |      0.37% |      0.35% |      0.36% |      0.35% |      0.35% |      0.11% |      0.35% |      0.36% |      0.35% |      0.35% |      0.36% |      0.36% |      0.36% |      0.35%
    mpki                             |       0.68 |       0.69 |       0.71 |       0.68 |       0.68 |       0.68 |       0.68 |       0.22 |       0.68 |       0.69 |       0.67 |       0.68 |       0.69 |       0.69 |       0.69 |       0.67
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      53842 |      53189 |      52227 |      53686 |      53627 |      53585 |      53500 |      52800 |      53987 |      53153 |      53908 |      53710 |      53326 |      53275 |      53270 |      53592
