                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6546372 |    6378274 |    5031353 |    5685647 |    4513547 |    5506631 |    5546745 |    5822267 |    6524605 |    5593091 |    5052059 |    4658615 |    5725079 |    6287194 |    5890739 |    6391241
  Cycles                             |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542 |   60283542
  IPC                                |       0.11 |       0.11 |       0.08 |       0.09 |       0.07 |       0.09 |       0.09 |       0.10 |       0.11 |       0.09 |       0.08 |       0.08 |       0.09 |       0.10 |       0.10 |       0.11
  Time (ns)                          |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986 |   22662986
  Idle time (ns)                     |    1190292 |      84856 |    5166709 |    2686172 |    6514133 |    1932921 |    2169650 |    1365104 |     690769 |    2260544 |    5242884 |    7280185 |    2302096 |     824765 |    2066788 |     783108
  Idle time (%)                      |       5.3% |       0.4% |      22.8% |      11.9% |      28.7% |       8.5% |       9.6% |       6.0% |       3.0% |      10.0% |      23.1% |      32.1% |      10.2% |       3.6% |       9.1% |       3.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     968348 |     940314 |     715854 |     824904 |     629545 |     795058 |     801737 |     847659 |     964709 |     809465 |     719302 |     653726 |     831467 |     925141 |     859067 |     942464
  num incorrect                      |         66 |         78 |         53 |         52 |         61 |         62 |         68 |         67 |         76 |         65 |         56 |         58 |         61 |         73 |         71 |         91
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1940814 |    1884781 |    1435805 |    1653903 |    1263203 |    1594231 |    1607601 |    1699443 |    1933559 |    1623051 |    1442707 |    1311559 |    1667047 |    1854419 |    1722269 |    1889101
    num cache misses                 |         10 |         15 |         15 |         15 |         15 |         15 |         14 |         15 |         13 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3530241 |    3446190 |    2772730 |    3099877 |    2513827 |    3010369 |    3030427 |    3168187 |    3519358 |    3053599 |    2783083 |    2586361 |    3119593 |    3400651 |    3202424 |    3452674
    num cache misses                 |     861902 |     640351 |     486970 |     559984 |     408435 |     532141 |     531063 |     539138 |     849128 |     569482 |     481760 |     423248 |     547044 |     601170 |     561160 |     582692
    miss rate                        |     24.41% |     18.58% |     17.56% |     18.06% |     16.25% |     17.68% |     17.52% |     17.02% |     24.13% |     18.65% |     17.31% |     16.36% |     17.54% |     17.68% |     17.52% |     16.88%
    mpki                             |     131.66 |     100.40 |      96.79 |      98.49 |      90.49 |      96.64 |      95.74 |      92.60 |     130.14 |     101.82 |      95.36 |      90.85 |      95.55 |      95.62 |      95.26 |      91.17
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     862148 |     640560 |     487104 |     560134 |     408561 |     532291 |     531223 |     539303 |     849280 |     569545 |     481812 |     423312 |     547090 |     601249 |     561238 |     582784
    num cache misses                 |     678634 |     492401 |     374424 |     428898 |     343401 |     447933 |     441206 |     453400 |     696996 |     441979 |     370710 |     320260 |     440677 |     474714 |     445324 |     465585
    miss rate                        |     78.71% |     76.87% |     76.87% |     76.57% |     84.05% |     84.15% |     83.05% |     84.07% |     82.07% |     77.60% |     76.94% |     75.66% |     80.55% |     78.95% |     79.35% |     79.89%
    mpki                             |     103.67 |      77.20 |      74.42 |      75.44 |      76.08 |      81.34 |      79.54 |      77.87 |     106.83 |      79.02 |      73.38 |      68.75 |      76.97 |      75.50 |      75.60 |      72.85
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     678982 |     492580 |     374527 |     429020 |     343499 |     448051 |     441327 |     453528 |     697193 |     442022 |     370741 |     320296 |     440705 |     474764 |     445372 |     465648
    num cache misses                 |     466968 |     373803 |     283842 |     318871 |     230352 |     297736 |     293814 |     321642 |     440705 |     310210 |     262335 |     227408 |     288708 |     311469 |     292260 |     331770
    miss rate                        |     68.77% |     75.89% |     75.79% |     74.33% |     67.06% |     66.45% |     66.58% |     70.92% |     63.21% |     70.18% |     70.76% |     71.00% |     65.51% |     65.61% |     65.62% |     71.25%
    mpki                             |      71.33 |      58.61 |      56.41 |      56.08 |      51.04 |      54.07 |      52.97 |      55.24 |      67.55 |      55.46 |      51.93 |      48.81 |      50.43 |      49.54 |      49.61 |      51.91
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      96.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      42.97 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          3 |          3 |          4 |          4 |          3 |          4 |          4 |          3 |          3 |          3 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     114116 |     149936 |     118018 |     140504 |     117684 |     153505 |     149339 |     161413 |     118236 |     135576 |     115177 |     103848 |     132303 |     141716 |     136515 |     149164
