                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |      21008 |      21282 |      21247 |      20824 |      20522 |      16178 |      19652 |      18732 |      22120 |      19085 |      19989 |      18582 |      20368 |      17368 |      21755 |      21741
    miss rate                        |      0.65% |      0.63% |      0.62% |      0.63% |      0.62% |      0.61% |      0.62% |      0.62% |      0.66% |      0.60% |      0.61% |      0.60% |      0.62% |      0.61% |      0.63% |      0.63%
    mpki                             |       3.27 |       3.19 |       3.15 |       3.17 |       3.13 |       3.11 |       3.13 |       3.11 |       3.31 |       3.04 |       3.06 |       3.03 |       3.12 |       3.07 |       3.17 |       3.20
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      23352 |      23202 |      23166 |      22772 |      22410 |      18109 |      21533 |      20638 |      24373 |      21045 |      21894 |      20484 |      22260 |      19242 |      23531 |      23500
    num cache misses                 |      12052 |      12123 |      11766 |      11484 |      11911 |       9105 |      10960 |      10554 |      13243 |      10654 |      10886 |       9878 |      11687 |       9702 |      11994 |      12377
    miss rate                        |     51.61% |     52.25% |     50.79% |     50.43% |     53.15% |     50.28% |     50.90% |     51.14% |     54.33% |     50.62% |     49.72% |     48.22% |     52.50% |     50.42% |     50.97% |     52.67%
    mpki                             |       1.88 |       1.82 |       1.74 |       1.75 |       1.82 |       1.75 |       1.75 |       1.75 |       1.98 |       1.70 |       1.67 |       1.61 |       1.79 |       1.71 |       1.75 |       1.82
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14183 |      13746 |      13356 |      13123 |      13720 |      10900 |      12710 |      12319 |      15339 |      12352 |      12534 |      11500 |      13470 |      11442 |      13578 |      13958
    num cache misses                 |      10160 |      10776 |      10438 |      10147 |       9558 |       7602 |       9169 |       8995 |      10753 |       9354 |       9535 |       8645 |       9603 |       8033 |      10038 |      10352
    miss rate                        |     71.64% |     78.39% |     78.15% |     77.32% |     69.66% |     69.74% |     72.14% |     73.02% |     70.10% |     75.73% |     76.07% |     75.17% |     71.29% |     70.21% |     73.93% |     74.17%
    mpki                             |       1.58 |       1.62 |       1.55 |       1.54 |       1.46 |       1.46 |       1.46 |       1.50 |       1.61 |       1.49 |       1.46 |       1.41 |       1.47 |       1.42 |       1.46 |       1.52
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     164.79 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     111.37 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          4 |          3 |          3 |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4600 |       3750 |       2772 |       2094 |       3816 |       2587 |       2952 |       2844 |       5146 |       3383 |       2797 |       2061 |       3748 |       2840 |       3268 |       3481
