                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6415560 |    6667258 |    6752148 |    6578951 |    6548500 |    5206371 |    6280387 |    6015620 |    6687328 |    6277266 |    6523649 |    6139759 |    6538128 |    5662524 |    6867791 |    6793519
  Cycles                             |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404 |    5136404
  IPC                                |       1.25 |       1.30 |       1.31 |       1.28 |       1.27 |       1.01 |       1.22 |       1.17 |       1.30 |       1.22 |       1.27 |       1.20 |       1.27 |       1.10 |       1.34 |       1.32
  Time (ns)                          |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979 |    1930979
  Idle time (ns)                     |     171593 |     126364 |     126268 |     160153 |     163153 |     517355 |     239371 |     300159 |      91201 |     259410 |     202863 |     311997 |     167002 |     400207 |      86846 |      82868
  Idle time (%)                      |       8.9% |       6.5% |       6.5% |       8.3% |       8.4% |      26.8% |      12.4% |      15.5% |       4.7% |      13.4% |      10.5% |      16.2% |       8.6% |      20.7% |       4.5% |       4.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1570735 |    1633652 |    1654851 |    1611548 |    1603958 |    1268462 |    1536920 |    1470736 |    1638648 |    1536146 |    1597737 |    1501754 |    1601348 |    1382451 |    1683757 |    1665180
  num incorrect                      |        162 |        168 |        179 |        188 |        172 |        136 |        181 |        174 |        188 |        172 |        179 |        184 |        191 |        179 |        190 |        202
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30050 |      30049 |      30077 |      30070 |      30047 |      30045 |      30051 |      30047 |      30053 |      30055 |      30051 |      30065 |      30045 |      30065 |      30065 |      30056
    num cache misses                 |         10 |         15 |         15 |         14 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.03% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3239825 |    3365677 |    3408115 |    3321518 |    3306298 |    2635233 |    3172240 |    3039858 |    3375711 |    3170679 |    3293870 |    3101923 |    3301113 |    2863305 |    3465939 |    3428805
